(0.3559864464402199, 0.16541412014227647)
(0.11818233609199524, 0.08408396175274482)
(0.06002092123031616, 0.046194042437351666)
(0.03587788354605436, 0.028926518244239)
(0.023977023921906947, 0.020114760989179976)
(0.017319761365652084, 0.015123796076155625)
(0.013319645300507546, 0.011949219955847813)
(0.010734168514609337, 0.00976488796564249)
(0.009014189448207617, 0.008240004070103168)
(0.007759767454117537, 0.00724192475900054)
(0.0068518703617155554, 0.006500344795103257)
(0.006178350746631622, 0.0059281450409728745)
(0.005642834175378084, 0.005379289066275725)
(0.005231087086722255, 0.005093279652870619)
(0.0048934018146246675, 0.004799238871783018)
(0.004624136891216039, 0.004451335407793522)
(0.0044046718068420886, 0.004324945871933148)
(0.0042170645855367185, 0.004153935059618492)
(0.004071003273129464, 0.00397283580297461)
(0.00392813547514379, 0.0038444024797242423)
(0.003801819239743054, 0.003773884328368765)
(0.00371283374261111, 0.0036548942578240083)
(0.0036318436311557887, 0.003586674198651543)
(0.00353940867818892, 0.003550169273064687)
(0.0034821958746761084, 0.0034367738900562893)
(0.0034122892236337064, 0.0034128375745450077)
(0.003352640154771507, 0.003326414332080346)
(0.003296962287276983, 0.003243825541665921)
(0.003259038534015417, 0.0032653321977704763)
(0.0031948021845892073, 0.003194244775491265)
(0.0031709535326808693, 0.003170408272685913)
(0.0031320444913581014, 0.0031164542843516055)
(0.003109030988998711, 0.0030988122408206645)
(0.0030607100762426852, 0.0030842198847005)
(0.0030416863365098834, 0.003039247213074794)
(0.003009466482326388, 0.003003271547361062)
(0.0029736039182171226, 0.002940677124290512)
(0.0029679830884560944, 0.002952269045636058)
(0.0029351291246712207, 0.0029401200680205454)
(0.002925673946738243, 0.002884862801203361)
(0.002891225512139499, 0.0028901564745375742)
(0.0028851245157420634, 0.0029067765527333203)
(0.0028418909618631006, 0.00284417664918762)
(0.002848505121655762, 0.002827306725801184)
(0.0028273488068953157, 0.0028514090137412916)
(0.002826404036022723, 0.0028018379369034218)
(0.0028150452440604567, 0.002805746679839033)
(0.002812288529239595, 0.002799671949245609)
(0.0027831911528483034, 0.0027989599531373153)
(0.002772192228585482, 0.0027587636230656733)
